sf,tair,pn
0.737,16.706476,0.265753
0.737,16.955835,0
0.737,17.379358,0
0.737,18.438074,0
0.737,18.345087,0
0.737,16.912408,0
0.737,15.718958,0
0.737,17.571832,0
0.737,21.724054,0
0.587,22.5505,0
0.587,20.307458,0
0.587,18.115808,0
0.587,17.552362,0
0.587,17.412317,0
0.587,17.806696,0
0.587,17.531152,0
0.587,18.168359,0
0.587,16.609857,3.055418
0.587,13.832758,5.047906
0.587,13.333643,0.717707
0.587,13.709009,0
0.587,14.428827,0
0.587,16.097101,0
0.587,15.673669,0
0.587,16.330225,0
0.587,17.173303,0
0.587,16.679559,0
0.587,16.783197,0
0.587,15.633264,0.473267
0.587,14.979761,0
0.587,16.381128,0
0.587,16.767847,0
0.587,16.979547,0
0.587,14.662134,4.833454
0.587,13.036554,16.672934
0.587,12.592126,1.649612
0.587,12.905481,9.145763
0.587,12.308893,9.897626
0.587,11.736658,6.125652
0.587,11.720056,0.231415
0.412,14.257776,0
0.412,14.949579,0
0.412,16.016626,0
0.412,15.919214,0
0.412,14.555322,0
0.412,14.303278,0
0.412,14.722864,0
0.412,14.779718,0
0.412,11.382135,1.078801
0.412,9.626306,1.581488
0.412,9.219629,0
0.412,9.456293,0
0.412,8.609186,5.509917
0.412,8.971613,1.304405
0.412,9.42785,0.48191
0.412,9.895471,1.402194
0.412,9.575006,0
0.412,10.247308,0
0.412,10.670648,0
0.412,10.012659,0
0.412,10.55108,3.917693
0.412,10.105188,0
0.412,10.235742,0
0.412,11.79458,0
0.412,11.682703,0
0.412,11.59646,0.241381
0.412,12.20318,0.251557
0.412,12.38006,0
0.412,12.635217,9.771374
0.412,11.216241,0
0.387,10.50509,0
0.387,10.338861,0
0.387,11.0021,0
0.387,12.041681,0
0.387,12.361261,0
0.387,12.268915,0
0.387,12.887231,2.13759
0.387,12.749811,0.331399
0.387,12.386133,0.135098
0.387,12.297021,0
0.387,10.911127,1.660115
0.387,10.495844,2.449528
0.387,10.660333,2.830733
0.387,11.966486,2.853374
0.387,12.504541,1.792916
0.387,11.982355,0
0.387,12.560022,0
0.387,10.766473,0
0.387,11.863306,0
0.387,11.772455,0
0.387,11.416681,2.321367
0.387,11.278864,0.401017
0.387,9.844232,0
0.387,10.244318,0.284616
0.387,9.788477,0
0.387,9.324915,0
0.387,10.537256,0
0.387,9.845422,0
0.387,9.371301,0
0.387,8.655725,0
0.387,9.470117,0
